TransactionID,TransactionAmt,TransactionDT,ProductCD,dist1,dist2,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,card1,card2,card3,card4,card5,card6
TXN-104829,8450.0,1774310400,WEB,845.0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-4001,150.0,1024,VISA,111,DEBIT
TXN-209144,42.5,1774311400,POS,2.1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-5002,150.0,1024,MASTERCARD,111,DEBIT
TXN-301855,1249.0,1774312400,WEB,12.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-3003,150.0,1024,AMEX,111,DEBIT
TXN-405112,3200.0,1774313400,WEB,1500.0,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-4001,150.0,1024,VISA,111,DEBIT
TXN-500001,950.0,1774314000,WEB,5.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-6001,150.0,1024,VISA,111,DEBIT
TXN-500002,1200.0,1774314600,WEB,5.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-6002,150.0,1024,MASTERCARD,111,DEBIT
TXN-500003,1450.0,1774315200,WEB,5.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-6003,150.0,1024,VISA,111,DEBIT
TXN-600001,1.25,1774316000,WEB,0.0,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-TEST-88,150.0,1024,VISA,111,DEBIT
TXN-600002,2.1,1774316030,WEB,0.0,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-TEST-88,150.0,1024,VISA,111,DEBIT
TXN-600003,1.5,1774316060,WEB,0.0,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-TEST-88,150.0,1024,VISA,111,DEBIT
TXN-600004,2850.0,1774316200,WEB,0.0,0.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-TEST-88,150.0,1024,VISA,111,DEBIT
TXN-700001,4900.0,1774317000,TRANSFER,0.0,0.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-MULE-01,150.0,1024,VISA,111,DEBIT
TXN-700002,4850.0,1774317100,TRANSFER,0.0,0.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-MULE-01,150.0,1024,VISA,111,DEBIT
TXN-700003,4950.0,1774317200,TRANSFER,0.0,0.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-MULE-01,150.0,1024,VISA,111,DEBIT
TXN-800001,150.0,1774318000,POS,15.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-GEO-01,150.0,1024,VISA,111,DEBIT
TXN-800002,3400.0,1774319200,WEB,5800.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-GEO-01,150.0,1024,VISA,111,DEBIT
TXN-900001,62.5,1774321800,WEB,1.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-001,150.0,1024,VISA,111,DEBIT
TXN-900002,100.0,1774323600,POS,3.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-002,150.0,1024,VISA,111,DEBIT
TXN-900003,137.5,1774325400,WEB,4.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-003,150.0,1024,MASTERCARD,111,DEBIT
TXN-900004,175.0,1774327200,POS,6.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-004,150.0,1024,VISA,111,DEBIT
TXN-900005,212.5,1774329000,WEB,7.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-005,150.0,1024,VISA,111,DEBIT
TXN-900006,250.0,1774330800,POS,9.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-006,150.0,1024,MASTERCARD,111,DEBIT
TXN-900007,287.5,1774332600,WEB,10.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-007,150.0,1024,VISA,111,DEBIT
TXN-900008,325.0,1774334400,POS,12.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-008,150.0,1024,VISA,111,DEBIT
TXN-900009,362.5,1774336200,WEB,13.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-009,150.0,1024,MASTERCARD,111,DEBIT
TXN-900010,400.0,1774338000,POS,15.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-010,150.0,1024,VISA,111,DEBIT
TXN-900011,437.5,1774339800,WEB,16.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-011,150.0,1024,VISA,111,DEBIT
TXN-900012,475.0,1774341600,POS,18.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-012,150.0,1024,MASTERCARD,111,DEBIT
TXN-900013,512.5,1774343400,WEB,19.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-013,150.0,1024,VISA,111,DEBIT
TXN-900014,550.0,1774345200,POS,21.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-014,150.0,1024,VISA,111,DEBIT
TXN-900015,587.5,1774347000,WEB,22.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-015,150.0,1024,MASTERCARD,111,DEBIT
TXN-900016,625.0,1774348800,POS,24.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-016,150.0,1024,VISA,111,DEBIT
TXN-900017,662.5,1774350600,WEB,25.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CARD-LEGIT-017,150.0,1024,VISA,111,DEBIT
